geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
A2ML1	8.414237524596771	7.968505314487055	7.964461304837466	7.641178491742895	7.767526692643463	7.800458940602747	3.805502017634521	4.192088270797828	2.802185837675878	5.641413158026999
AADAC	3.6918097235289618	3.040352832126973	3.3858067653087067	3.771188785402435	4.069799802354104	2.130505455088341	-3.6678209911775395	0.05084921355436715	-1.1019399371220264	-0.695045134277571
AADACL2	6.799068098595316	6.92728917299113	6.0674191692677475	6.631236825066156	6.056567252009763	5.110788927247783	-6.027984248220351	2.8079691500235957	1.9290232585622125	3.4377998238002565
AARD	2.760132246374422	1.7818749606885453	2.661911405126259	1.9553389778531844	2.7436443783956257	1.0035823874109524	0.10037290294052549	0.14711290390075837	-0.09093425199082633	0.10751161084395121
ABCA10	4.422272605617753	4.437207803599786	6.352616354176253	4.209645598740123	2.8084542577954785	2.241439226821177	2.855924523938347	2.4423251845849197	2.4382359324478715	0.7891027762203311
ABCA12	8.517333374513253	7.7060711415387	7.8490525076060775	7.52841158453079	7.909659589689361	7.227296182653459	3.1628514661587674	5.157553009302915	4.603300281886458	6.589285098254229
ABCA4	2.8850596777815425	1.6743276671657095	2.3789662746301703	0.43100493525971556	1.8127166779255959	-1.8826277064021624	-2.037882882476858	0.5338061736214226	-2.3653346986108645	-0.9547919320601607
ABCA8	5.446969963999575	6.029632600729676	6.636471963277039	6.811138442020068	6.059658111144305	2.928325542869411	4.4419517271769235	3.116130442897063	3.234027204838135	4.043791495460102
ABHD12B	5.035688394824403	4.767850581418238	4.802034941099109	4.152495076905261	4.679180986827456	3.1733674763295694	1.7799472491805521	2.0971562929612664	1.6508900526680101	3.0884902603316644
ABHD16B	-0.3894909300540362	0.04367687900854372	-0.5002697801489022	0.16907536567304868	0.7704280382540214	2.1170112210038763	2.0719900544553145	2.3569193073722015	1.8433875173574732	1.5358551062754098
ABI3	1.4443636674602793	1.7799657302480758	0.656653381117849	1.1458689994095657	-0.10815939311823045	4.753794677620127	4.9281970629258005	4.994940213946154	5.180002710666094	4.870813594142546
ABLIM1	9.350876386913788	9.018653142755923	8.911615525163269	8.981457023390309	8.224352555834914	7.797311357115384	6.4931204469888275	6.357366686517376	6.541169475283478	7.274765714961309
AC007192.4	4.359103693197647	5.005255110019489	4.006086259868917	4.779417106437665	5.148432961659764	6.796260164313401	6.211410903411494	6.952925059065693	6.744163730856925	6.820493036996355
AC007325.2	4.825843739548185	4.469234707847537	4.532811530424179	4.873795513645395	4.5983602146215015	2.0678591085316276	-3.108204083616047	-2.338377636749778	-0.77867038011776335	0.3558708842371187
AC009950.1	-6.473443889334508	-1.2965980309895067	-6.519189817758153	-5.180930543871455	-2.222328138948477	1.0277513152792852	1.3076907967904101	2.661288044501637	1.2894095104641758	2.0807116758130535
AC011380.8	-2.1134212811392543	-1.2539307935248405	-1.1340868370739121	-3.837346492592658	0.46717788858787174	-0.2304750972141609	1.3054422779430104	0.46241478601251473	1.359621048722096	1.0267537035837146
AC015688.3	-0.8302308188813057	-0.2768183908666442	-0.25130138736794827	-1.3546736663748253	-0.2512115098945347	1.7956012690678274	2.2258621189034247	1.3482550616032611	1.28934319217114	2.7334422493877764
AC025335.1	7.068837699166244	6.830123398424502	6.483213442789535	6.809080417994137	6.219642892218183	5.455908766477355	2.207501790958325	3.1974920855331113	3.108445748401888	3.617735437898059
AC093616.4	-2.391961598849805	0.2755381736672681	0.8828170843162384	-0.14370570088893508	-2.222328138948477	1.7099688955748231	2.7927861805481484	3.7972362616403488	3.034445838019765	1.4088334951460584
AC141272.1	-6.473443889334508	-5.165897603038344	-6.519189817758153	-5.180930543871455	-2.222328138948477	3.233754700436568	1.262903844892389	1.6379971994638947	3.6966316743427416	1.7903708960571896
ACADSB	6.603576551487297	6.435737240399382	6.335674463886559	5.977707985215807	5.691704820955208	3.92466491176551	4.396558649577063	4.174668335514658	4.221322994754432	4.617691832451354
ACAP1	2.449699594616456	2.7806890463110756	2.826481355170852	2.732465352810981	1.4838041060296558	4.889431202815192	5.085944450993474	5.5155273349392795	5.718127805160193	4.283008137019887
ACER1	5.252184876054856	4.848227611104336	4.534846048415514	4.34011094241335	4.2286924364547245	3.454673860330651	-2.7703494601998853	0.2876559960744683	0.39954045059852017	2.0213717465450958
ACOD1	-4.860144325739092	-5.149431937434966	-6.519189817758153	-5.180930543871455	-0.7527710192059046	1.135621291853678	3.3133357660490614	6.5342657546405265	5.3472592226782645	4.165845683562302
ACP2	2.9980304357605556	3.7552425544756507	3.602166609341696	3.8990107224397983	3.60259954074507	6.172718968834519	6.034638565408545	6.435169562992779	6.574475782259701	6.571520416965462
ACP5	4.42338957666327	4.402446308313766	3.8632856405925207	4.295028113143993	5.443316058445535	8.007585351589217	6.580160719286165	6.594671973465493	6.864618557910682	7.052456408111913
ACRBP	-0.29696457371541024	-0.41042222420332225	0.19093447651785528	-0.34318279135512453	-2.222328138948477	1.2942437485148648	1.731614533452216	1.0558769736200686	2.0726320056291034	1.8906670984587852
ACSL5	2.180775129056264	3.6003549777782577	3.260361636612121	3.471270535652378	3.502847662066462	5.8466295921061	6.02127197677317	5.937904471354832	6.259832344447272	6.445025470408088
ACSL6	-1.3640494584512135	0.03918187678156201	0.11903920143676121	-0.7541004079315903	1.8759993028079514	1.7503620856646398	1.4581971354627021	2.0695443500709803	2.9673732327572453	2.822099935672202
