geneSymbol	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
LAIR2	-2.9206486307979396	-3.743457777654043	-0.3140673975781547	-5.180930543871455	-1.3118338610188318	1.632923576311457	1.7367675573092534	1.9053014523104923	1.8159412582213443	1.6191953462085344
FHAD1	0.11084906133194884	-0.33084669489561375	1.1273394844798639	-1.4554486240069737	0.7774175266420984	3.6579436650663157	2.783612289949241	3.719997536759811	3.36566597302935	3.8310743855597287
PLA2G2D	-1.5578145068773521	-1.452288153147672	-0.5519983928497934	-2.3161459467402743	-0.11934011035978327	3.1694218581966664	2.0553694137927088	1.5075693676005157	2.1133484218998855	2.843763855392711
KRT6C	1.9671866690721325	1.303897838142735	3.1408848144081416	-1.4875671009513813	3.3481409164964995	10.475856821540988	6.634138078996437	7.3084578331539705	8.203376337941256	9.151113027252311
RAB39B	-2.2083328239379636	-0.7477634577326165	-0.9680280601374579	-2.316594695023987	-0.7681613536254028	1.5925717952017466	1.7767987827060043	2.1137403320246704	2.257194562327043	1.948316483676363
MEI1	-0.514368674859472	0.2843487600216981	0.21821032176516955	-1.3189239090096465	0.8708842937949948	3.397332697444058	3.1651646799587816	3.8925663534441446	4.264484827669824	3.232825937334047
ZNF804A	-1.9225603789076757	-1.7275732104092207	-1.1690315234200204	-2.68518808589057	-0.6724893745867715	0.46123196065143846	1.2037182370635027	1.465265608572135	1.545845625546372	1.7362082064634907
IL2RA	-0.5846668209561148	0.017270543545533236	-0.2140414733486301	-5.180930543871455	0.46519136459938837	5.437161969116851	5.585381761180983	6.064242571514678	6.179764232864746	6.034709510383969
PITPNM1	3.066852567015045	3.1938705618459142	3.670138974364444	2.571797895942387	3.0618877960433983	5.74106279497741	5.914690272617317	5.839874730543542	5.725415047358339	5.574379360065871
CD5	0.966104990616576	0.6375019283796658	1.254410797531923	-0.18296805959009327	0.5957262090882134	4.44353805658384	5.07423490689034	4.235945333692199	4.928189410005214	4.418237658908886
ZNF683	-2.834448387698445	-3.255234059652274	-1.9788183927750513	-5.180930543871455	-2.222328138948477	1.0603490381280247	2.8102445021273286	2.3620189968697067	2.846576446430253	1.3277205869275512
CLEC4C	-1.6263747463843405	-1.5414626020351436	-1.4164317776291488	-2.427719465561815	-0.8499580093498974	1.3078843890009544	1.6994369758268821	0.5459079325142924	1.8791279302521509	2.404301205908524
AC015688.3	-0.8302308188813057	-0.2768183908666442	-0.25130138736794827	-1.3546736663748253	-0.2512115098945347	1.7956012690678274	2.2258621189034247	1.3482550616032611	1.28934319217114	2.7334422493877764
SPIB	0.8306436687865133	0.970758928782421	2.2843853258270954	0.9788047953370267	2.1228029003807305	3.846489204050572	3.8259079295555476	2.9529744470151242	3.388582464530492	3.961898859771261
TTYH3	3.9732438797196235	3.7651365212781807	3.202532133010379	3.644759993454289	4.875921057666917	6.191856471223667	6.558096007882887	6.51356502807683	6.335795738750363	6.64158515119287
GMIP	3.143088510534489	2.9882041403450152	2.7941271708760964	3.2274934138190523	3.873561766270212	4.872283227628621	5.422638334437271	5.387986060955797	5.412633630778132	5.798583967890392
PTAFR	4.00381918475744	3.7637926124290786	2.9832625027314856	3.460495636930272	4.125941286747545	7.402327716914778	7.324717819998526	7.2364551956569265	7.684373421371864	7.839433832734478
KCNAB2	3.591343058498924	3.1929243225783033	2.7654384809362433	3.0714441897578757	3.68046750619845	5.293020499600113	5.3609855554740955	5.071073675797066	5.322216841506761	5.746278897492262
LYPD1	-0.218753946830872	-0.7487727257202249	-1.0852192168285721	-0.9061603797449351	-0.2618388982985021	1.4293313008843134	2.632610854860213	1.2955512951771717	1.7548989592407704	2.0152041905208553
TNC	7.2571271109792175	7.12372056460029	6.642729283880901	6.178481088799812	7.180574562066715	9.385251986895792	10.361257825136407	10.192611688218813	9.52287913239021	9.727612790307939
GPR35	-0.07602207987172545	0.018747033523536717	0.20113982973122158	-0.32932018959686454	0.4992714667386387	1.627425378104199	2.5792841973080582	2.5462986189298036	1.5653852782160715	2.4672139180777264
SH2D5	-1.599586278009353	-3.2685325711048914	-3.580648733774414	-5.180930543871455	-2.222328138948477	2.6812228857033915	2.653296177159871	1.6815913960342757	2.3308726456717093	1.3406080735926145
LIPG	3.382836962863677	2.2091166395708774	2.7500119792779705	1.0547964866355746	2.7773210460832174	5.1915899827409895	5.621873351623226	5.572460281143843	5.201809900576255	5.5122550223441715
TMEM132A	3.3723957838621232	1.9019425025769965	2.5004329765632245	1.4809036894901588	3.465507165021116	4.968765405478052	5.687063694335494	5.2840773750870405	4.939931690444109	4.744239525801191
PFKFB4	2.8553679107419114	1.7794787928357676	2.5877864280338354	1.9773954397204256	3.073885974455878	4.112008490101674	4.983314444295281	4.554659016069111	4.594270142116052	4.431338119512649
PLD4	-0.6572837348115782	-1.0553201338264537	-0.7351706039854211	-2.235602251003682	0.4939967777651662	2.267170633829008	2.2011416119419516	1.5351857980055263	1.8571030952549972	2.1686575328709807
CHN1	1.0681344215620325	1.3334934456322036	1.7585037887909243	-0.02270562716663295	2.4343786262155493	4.528893690605601	4.91654480479489	4.033024205395304	4.0565007893306415	4.055991340688399
SLC12A3	-1.2556219899714616	-2.0835787173719442	-0.5427632530826525	-1.1516004364753352	-0.15485877670014436	1.1392468557973778	1.3511500353845962	1.5127271836468206	1.6590484942788557	2.89927930162672
APOBR	0.7391758642082944	0.5680055227459893	1.0015310805321471	1.450523723099111	1.9206962127455856	2.4814212514585643	3.5775786523649566	3.319430469351811	3.4687212908521534	4.292028905076781
